 244.01730223, 204.51054371, 191.55184859, 196.96656161, 166.41503540, 246.88798344, 223.73088560, 245.78184732, 179.65602892, 167.63435526, 238.87911872, 180.16592656, 220.72302835, 186.70262613, 190.16300917, 247.99511454, 210.25148920, 147.56702587, 140.15096682, 191.99392119, 239.38972289, 193.98591825, 178.76129733, 216.59436598, 188.58019824, 190.24695029, 152.25006182, 231.31271691, 185.72705598, 124.45249282, 231.06527630, 241.50688559, 249.78634968, 248.54162117, 245.48146412, 121.45184456, 146.08282746, 197.09940393, 160.68070381, 139.19941916, 196.12097978, 222.66658232, 244.18317109, 226.98594939, 187.75259782, 142.53021210, 194.11677907, 91.38441577, 183.23542954, 194.96455548, 112.40195454, 176.41672736, 198.98926433, 132.54844823, 231.17386158, 233.78986026, 234.90991395, 211.01984708, 223.67761527, 200.27460111, 125.26677292, 245.48958721, 246.04814364, 180.38978499,
 245.85724554, 202.24617754, 233.90282587, 241.66072760, 252.11881424, 216.74209397, 249.66832690, 153.56476151, 249.03401445, 201.72602869, 152.70133599, 250.22163164, 211.10519448, 214.54200551, 251.59388462, 251.84192825, 136.86321109, 171.49168495, 237.83755190, 172.92043745, 217.04229120, 238.10963346, 161.51962360, 192.33329410, 250.43209762, 211.64696301, 139.45535746, 239.25081205, 170.13081371, 183.18200921, 252.68336231, 227.19574913, 251.18144664, 187.27593972, 168.79607008, 207.35427559, 115.91203166, 213.90238742, 143.99277708, 126.72343019, 232.93558479, 144.77472885, 246.91567563, 250.34170033, 196.84683086, 189.05573454, 158.64584387, 199.65193397, 156.65311861, 223.94559453, 203.61674798, 240.99443425, 185.53536221, 130.25372073, 207.93588737, 147.49422871, 213.57838115, 180.87659121, 207.17159866, 232.83979694, 139.33126016, 159.57908198, 137.53479649, 238.10429653,
 108.84900312, 195.44040758, 205.97368115, 175.25345855, 247.23096495, 253.23129396, 213.82661352, 221.81338389, 190.98946890, 230.04173305, 230.78361980, 241.08673565, 228.12667153, 154.37368902, 186.43997646, 218.96287793, 122.31969939, 205.55052304, 156.92780550, 238.27742614, 142.36419196, 207.42091604, 214.86593024, 217.31958472, 195.44984486, 216.02169810, 248.51616233, 166.34608690, 157.71379251, 113.18092342, 251.70359789, 244.86815232, 168.73779881, 248.61243804, 197.65569185, 146.70156475, 124.10789627, 198.92198120, 148.27913351, 114.93328663, 251.37400168, 232.50972051, 208.70926656, 122.46416712, 250.06179652, 232.23869288, 246.11608479, 251.59492767, 214.95058533, 252.29129945, 188.76933782, 215.79349352, 251.23783227, 177.30198786, 210.73552890, 207.08266705, 200.57858660, 149.63967510, 125.90440011, 201.68577838, 187.98823244, 126.61817026, 246.41199158, 145.26020916,
 167.98293911, 250.66876120, 221.14580085, 195.39277650, 183.85362540, 251.24679661, 233.75024769, 210.12048099, 163.38554043, 213.18706424, 251.32463615, 207.18384989, 192.07783589, 230.01078309, 237.36741859, 243.37232596, 250.31134743, 219.58408592, 174.87241798, 193.67572327, 133.25040740, 248.74268677, 231.38717719, 241.90194198, 248.40578946, 205.96259681, 182.54328551, 169.91002343, 249.51396761, 250.06065932, 252.93234321, 239.33502133, 200.55552400, 158.08884922, 217.31169785, 224.04552868, 247.38936333, 236.45880638, 199.08020022, 103.57161561, 250.20457097, 226.65941091, 232.20973090, 165.75208343, 228.98274488, 164.52776613, 165.84387425, 180.24772570, 199.10734719, 252.97590164, 210.45048390, 247.12586572, 253.42572107, 248.37444225, 136.01223219, 237.30922090, 252.22038708, 223.04198837, 238.59961963, 252.97582231, 232.18242092, 244.19984131, 200.31833200, 162.54507265,
 158.77664712, 210.61725701, 234.66561150, 222.03959069, 165.84631996, 163.25637918, 243.77237122, 158.34977155, 244.02890820, 177.57355015, 178.73170388, 117.91554089, 135.20408527, 136.17938616, 212.44896151, 149.26149202, 202.85046690, 190.03814941, 248.43214220, 158.76774678, 209.54402495, 142.49613908, 145.81026826, 172.21175989, 228.55670964, 147.51548330, 213.32941877, 145.95719023, 163.99385912, 167.56845667, 169.74648814, 176.65307936, 106.88723970, 247.64400415, 223.75499816, 105.04814664, 190.35681701, 184.40292863, 217.98733194, 209.76937604, 212.09538912, 252.22437629, 251.33602656, 200.66859011, 208.92232655, 188.79199443, 162.19328278, 176.77428543, 189.94989016, 251.20495894, 207.46094401, 140.38261413, 181.70039864, 139.14927198, 216.23042189, 160.83979693, 211.60713156, 170.28049909, 166.94139133, 238.02261109, 241.89202712, 169.33493177, 218.07810903, 202.43448838,
 160.20549561, 251.71699224, 227.41569962, 251.92303790, 186.99973738, 192.90093566, 236.35819233, 180.17110632, 211.20969846, 105.78886204, 193.68944406, 142.90478377, 145.17036704, 248.83683634, 242.28013602, 213.92207869, 190.77192570, 248.96528372, 179.14451697, 209.65804741, 211.48027802, 184.03423512, 119.14637607, 96.08558630, 245.11179445, 238.25777313, 168.13765129, 186.85551324, 238.39977529, 252.91650589, 250.63934679, 148.22629828, 218.82214932, 188.20112909, 250.31077199, 248.91006234, 196.64396788, 230.80256432, 195.69799111, 165.10968613, 244.29014755, 190.92169122, 150.09794575, 165.93218738, 176.48311617, 217.63951877, 235.20338149, 147.74319040, 196.27421451, 178.58990904, 252.08502686, 245.12706997, 201.82216212, 196.57234545, 181.61210409, 212.40236093, 250.18449154, 156.22587770, 190.03914125, 163.77498378, 191.74716690, 180.73760146, 225.46694340, 246.30140404,
 198.58998211, 251.41875515, 186.64217466, 225.60388610, 203.53472362, 155.74514028, 248.47142219, 162.72195549, 217.08304294, 180.84144598, 212.86019811, 241.61813672, 204.48312140, 194.46877156, 252.70186747, 241.15492398, 251.17432911, 170.24263534, 250.10149104, 212.20722214, 249.44857176, 177.32329071, 187.50805689, 159.08100202, 160.92756795, 228.54998043, 132.09946510, 193.41165151, 192.54312355, 252.86864453, 234.65628902, 191.99165772, 211.58383360, 226.73799369, 131.13077380, 183.85243422, 201.86269777, 213.71105859, 196.20864866, 233.52216086, 248.22706099, 252.08608532, 225.56315191, 230.83036181, 251.74220449, 216.83242746, 251.59116482, 198.12644149, 250.00805873, 160.59410602, 233.70548613, 131.76842049, 139.51152772, 183.16654972, 123.77687133, 195.36786277, 196.47633575, 181.36522050, 251.95146939, 251.05167565, 239.92817181, 119.22606068, 222.14579296, 145.02205241,
 177.24139839, 197.73238702, 194.64136625, 204.30377509, 230.44724420, 134.34321975, 147.57650611, 237.88498625, 201.87483276, 196.67116004, 224.46793904, 249.69636941, 114.51674208, 95.62555872, 220.85047462, 205.39231918, 228.85111943, 167.64303931, 219.69381651, 215.10999222, 147.56272818, 212.47722585, 181.02656768, 209.26164916, 149.13613565, 203.50227397, 250.28856693, 250.36511712, 173.61466653, 228.64429876, 182.05422809, 182.61013501, 220.77171961, 215.65468735, 242.25376575, 221.43836432, 176.80063842, 210.57993613, 147.49007890, 139.68908552, 177.48648299, 252.98755699, 253.06153467, 189.18729215, 230.50252237, 213.84700524, 195.15809702, 186.42404920, 215.39003136, 184.57656539, 135.43628121, 210.31547748, 225.24545385, 222.31191181, 199.21168371, 164.99467230, 171.11323479, 170.91276805, 236.54785504, 165.39033088, 187.70755339, 248.92123871, 212.78613337, 128.31820895,
 247.46170254, 227.89201234, 251.65144573, 248.49568740, 232.99854620, 218.49476092, 202.51758298, 145.01095109, 249.51226568, 175.52290872, 250.02216964, 177.21444844, 143.61006515, 139.00093775, 212.88270005, 214.40637167, 204.74139243, 218.36944390, 194.39474760, 251.27575290, 169.79346891, 174.29317044, 113.59810107, 172.44805342, 247.57028158, 168.65753708, 197.68946733, 168.07999653, 276.30825551, 249.10462327, 185.05822960, 245.61486067, 119.89086130, 341.52677924, 242.03940215, 254.75629109, 188.47485276, 245.93613429, 103.49973797, 224.35690390, 243.17115903, 235.09455394, 250.96820091, 183.39705079, 205.22385839, 245.00446754, 175.11768544, 248.96651109, 250.40552007, 195.48574230, 176.11394640, 114.99268728, 248.12618185, 136.55735696, 190.24314976, 175.75125140, 135.34395065, 210.93578266, 251.59394888, 148.32713320, 214.42548133, 207.30824243, 161.78234847, 158.01304071,
 225.65784744, 244.06036084, 182.83469300, 229.82617111, 150.89511447, 204.80743582, 221.99483523, 250.66179740, 233.93708064, 225.52619306, 197.94682113, 164.31538906, 218.73518499, 191.04615425, 156.75077652, 175.24884255, 250.43908278, 170.35601558, 169.47486427, 252.01408727, 250.83652913, 187.01032401, 115.97798724, 247.44662614, 162.20026942, 190.52023313, 120.08049548, 250.56126345, 7878.68399274, 268.69756960, 253.83155480, 93.16525345, 282.11608080, 9870.18062132, 392.14696765, 6454.96073552, 246.34635322, 78.80712425, 91.28454182, 230.85829973, 208.86558986, 190.60870603, 150.85097993, 230.10636258, 206.90343351, 251.67268523, 194.13956462, 115.30769881, 132.04076590, 250.45739996, 250.88341587, 132.64375192, 215.88104386, 249.11552271, 165.61983166, 147.79269942, 149.96633077, 246.84695404, 252.94236607, 217.05825434, 183.36220283, 178.16985017, 249.61262802, 199.49382904,
